Moving1.Position[deg],I_aa[A],Moving1.Torque[NewtonMeter]
10,0,0
10.9,0,0
11.8,0,0
12.7,0,0
13.6,0,0
14.5,0,0
15.4,0,0
16.3,0,0
17.2,0,0
18.1,0,0
19,0,0
19.9,0,0
20.8,0,0
21.7,0,0
22.6,0,0
23.5,0,0
24.4,0,0
25.3,0,0
26.2,0,0
27.1,0,0
28,0,0
28.9,0,0
29.8,0,0
30.7,0,0
31.6,0,0
32.5,0,0
33.4,0,0
34.3,0,0
35.2,0,0
36.1,0,0
37,0,0
37.9,0,0
38.8,0,0
39.7,0,0
40.6,0,0
41.5,0,0
42.4,0,0
43.3,0,0
44.2,0,0
45.1,0,0
46,0,0
46.9,0,0
47.8,0,0
48.7,0,0
49.6,0,0
50.5,0,0
51.4,0,0
52.3,0,0
53.2,0,0
54.1,0,0
55,0,0
10,44,-1.20471
10.9,44,-0.706631
11.8,44,-0.440376
12.7,44,-0.280275
13.6,44,-0.154339
14.5,44,-0.0556038
15.4,44,0.0446268
16.3,44,0.142479
17.2,44,0.26087
18.1,44,0.414054
19,44,0.656484
19.9,44,1.10636
20.8,44,2.34683
21.7,44,5.30279
22.6,44,6.10059
23.5,44,4.06888
24.4,44,4.23762
25.3,44,3.06758
26.2,44,3.33517
27.1,44,2.04449
28,44,1.99013
28.9,44,0.944572
29.8,44,0.474267
30.7,44,-0.0971113
31.6,44,-0.7711
32.5,44,-1.06507
33.4,44,-1.65914
34.3,44,-1.74889
35.2,44,-1.89651
36.1,44,-0.954584
37,44,0.196669
37.9,44,-0.260136
38.8,44,0.652787
39.7,44,2.05141
40.6,44,1.80959
41.5,44,1.88919
42.4,44,1.10449
43.3,44,0.978467
44.2,44,0.186269
45.1,44,-0.422283
46,44,-0.946059
46.9,44,-2.03966
47.8,44,-2.05879
48.7,44,-3.29174
49.6,44,-3.12414
50.5,44,-4.15848
51.4,44,-3.97959
52.3,44,-5.76795
53.2,44,-5.79854
54.1,44,-2.62786
55,44,-1.1941
10,88,-4.85789
10.9,88,-2.84481
11.8,88,-1.7711
12.7,88,-1.12648
13.6,88,-0.620074
14.5,88,-0.223344
15.4,88,0.179256
16.3,88,0.57242
17.2,88,1.04843
18.1,88,1.66506
19,88,2.64263
19.9,88,4.46013
20.8,88,9.48646
21.7,88,21.528
22.6,88,24.87
23.5,88,16.6301
24.4,88,17.3149
25.3,88,12.54
26.2,88,13.6355
27.1,88,8.36099
28,88,8.13713
28.9,88,3.85919
29.8,88,1.93226
30.7,88,-0.408687
31.6,88,-3.16837
32.5,88,-4.37303
33.4,88,-6.80572
34.3,88,-7.17402
35.2,88,-7.77925
36.1,88,-3.9285
37,88,0.793215
37.9,88,-1.05422
38.8,88,2.69308
39.7,88,8.41342
40.6,88,7.42242
41.5,88,7.74756
42.4,88,4.53494
43.3,88,4.01752
44.2,88,0.773714
45.1,88,-1.7192
46,88,-3.86495
46.9,88,-8.33945
47.8,88,-8.4189
48.7,88,-13.4576
49.6,88,-12.771
50.5,88,-16.9913
51.4,88,-16.2655
52.3,88,-23.5181
53.2,88,-23.5571
54.1,88,-10.6297
55,88,-4.81503
10,132,-10.987
10.9,132,-6.42947
11.8,132,-4.00098
12.7,132,-2.54411
13.6,132,-1.40015
14.5,132,-0.504269
15.4,132,0.40473
16.3,132,1.29255
17.2,132,2.3678
18.1,132,3.7613
19,132,5.97231
19.9,132,10.0864
20.8,132,21.4731
21.7,132,48.7345
22.6,132,56.2776
23.5,132,37.6794
24.4,132,39.2731
25.3,132,28.4072
26.2,132,30.8748
27.1,132,18.943
28,132,18.4219
28.9,132,8.74589
29.8,132,4.37803
30.7,132,-0.921849
31.6,132,-7.17107
32.5,132,-9.90347
33.4,132,-15.4161
34.3,132,-16.2557
35.2,132,-17.6243
36.1,132,-8.87865
37,132,1.81368
37.9,132,-2.41222
38.8,132,6.08031
39.7,132,19.056
40.6,132,16.8192
41.5,132,17.5463
42.4,132,10.2711
43.3,132,9.09032
44.2,132,1.74918
45.1,132,-3.89618
46,132,-8.75677
46.9,132,-18.8791
47.8,132,-19.0715
48.7,132,-30.472
49.6,132,-28.9349
50.5,132,-38.5177
51.4,132,-36.8662
52.3,132,-53.2102
53.2,132,-53.3558
54.1,132,-24.0672
55,132,-10.8911
10,176,-19.596
10.9,176,-11.4649
11.8,176,-7.13158
12.7,176,-4.53359
13.6,176,-2.49468
14.5,176,-0.898398
15.4,176,0.721075
16.3,176,2.30297
17.2,176,4.21935
18.1,176,6.70404
19,176,10.6491
19.9,176,17.9901
20.8,176,38.3011
21.7,176,86.3411
22.6,176,97.1492
23.5,176,66.3932
24.4,176,70.3015
25.3,176,51.0419
26.2,176,55.1119
27.1,176,34.0151
28,176,32.7736
28.9,176,15.6149
29.8,176,7.80951
30.7,176,-1.6067
31.6,176,-12.7111
32.5,176,-17.5674
33.4,176,-27.4048
34.3,176,-28.9675
35.2,176,-31.3631
36.1,176,-15.6477
37,176,3.55207
37.9,176,-4.87242
38.8,176,10.6335
39.7,176,33.8625
40.6,176,30.0265
41.5,176,31.1473
42.4,176,18.2184
43.3,176,16.0909
44.2,176,3.05556
45.1,176,-6.97318
46,176,-15.6217
46.9,176,-33.561
47.8,176,-34.1869
48.7,176,-54.2836
49.6,176,-51.9104
50.5,176,-68.5889
51.4,176,-65.7731
52.3,176,-92.5661
53.2,176,-93.7928
54.1,176,-43.0752
55,176,-19.4265
10,220,-30.6829
10.9,220,-17.9517
11.8,220,-11.1648
12.7,220,-7.09578
13.6,220,-3.90397
14.5,220,-1.40582
15.4,220,1.12836
16.3,220,3.60394
17.2,220,6.60381
18.1,220,10.4949
19,220,16.6742
19.9,220,28.1693
20.8,220,59.9635
21.7,220,130.114
22.6,220,137.41
23.5,220,100.613
24.4,220,108.533
25.3,220,79.4949
26.2,220,85.0648
27.1,220,54.9961
28,220,52.2935
28.9,220,26.0366
29.8,220,13.1
30.7,220,-2.31387
31.6,220,-20.2235
32.5,220,-28.0756
33.4,220,-43.2231
34.3,220,-45.5501
35.2,220,-48.7339
36.1,220,-23.3395
37,220,5.55921
37.9,220,-8.16158
38.8,220,14.9323
39.7,220,51.8207
40.6,220,47.3507
41.5,220,48.6167
42.4,220,29.1361
43.3,220,25.2461
44.2,220,4.58393
45.1,220,-11.8402
46,220,-25.8943
46.9,220,-53.3721
47.8,220,-55.0995
48.7,220,-84.4591
49.6,220,-82.3145
50.5,220,-104.648
51.4,220,-101.015
52.3,220,-129.31
53.2,220,-135.002
54.1,220,-67.1793
55,220,-30.4192
10,264,-44.246
10.9,264,-25.8893
11.8,264,-16.1008
12.7,264,-10.2314
13.6,264,-5.62815
14.5,264,-2.02656
15.4,264,1.6266
16.3,264,5.19561
17.2,264,9.52166
18.1,264,15.1345
19,264,24.0474
19.9,264,40.6228
20.8,264,86.4419
21.7,264,165.357
22.6,264,169.833
23.5,264,135.366
24.4,264,146.225
25.3,264,112.22
26.2,264,120.145
27.1,264,81.6373
28,264,76.7567
28.9,264,41.888
29.8,264,22.6389
30.7,264,-1.86509
31.6,264,-29.5265
32.5,264,-42.5611
33.4,264,-62.5482
34.3,264,-65.4401
35.2,264,-65.8372
36.1,264,-26.2522
37,264,5.32675
37.9,264,-9.63164
38.8,264,15.5012
39.7,264,68.7721
40.6,264,66.4355
41.5,264,68.9928
42.4,264,43.1369
43.3,264,36.2173
44.2,264,5.00129
45.1,264,-20.9709
46,264,-41.6777
46.9,264,-77.7839
47.8,264,-81.808
48.7,264,-118.343
49.6,264,-114.216
50.5,264,-140.177
51.4,264,-135.732
52.3,264,-160.812
53.2,264,-169.625
54.1,264,-96.838
55,264,-43.8725
10,308,-60.2811
10.9,308,-35.2772
11.8,308,-21.9394
12.7,308,-13.9407
13.6,308,-7.66731
14.5,308,-2.76058
15.4,308,2.2158
16.3,308,7.07801
17.2,308,12.9732
18.1,308,20.6226
19,308,32.7675
19.9,308,55.348
20.8,308,117.651
21.7,308,198.073
22.6,308,199.661
23.5,308,167.464
24.4,308,178.56
25.3,308,144.895
26.2,308,155.026
27.1,308,113.307
28,308,106.626
28.9,308,64.0132
29.8,308,36.4169
30.7,308,0.812902
31.6,308,-37.4791
32.5,308,-58.1076
33.4,308,-83.9335
34.3,308,-83.6389
35.2,308,-80.4765
36.1,308,-24.7551
37,308,6.19671
37.9,308,-13.163
38.8,308,9.64086
39.7,308,82.1796
40.6,308,86.0971
41.5,308,91.4308
42.4,308,60.585
43.3,308,45.8736
44.2,308,4.15256
45.1,308,-33.1132
46,308,-61.9164
46.9,308,-107.361
47.8,308,-113.564
48.7,308,-152.276
49.6,308,-147.002
50.5,308,-171.45
51.4,308,-167.772
52.3,308,-191.441
53.2,308,-203.274
54.1,308,-131.246
55,308,-59.8655
10,352,-78.7793
10.9,352,-46.1144
11.8,352,-28.6799
12.7,352,-18.2237
13.6,352,-10.0217
14.5,352,-3.60789
15.4,352,2.89595
16.3,352,9.25117
17.2,352,16.9587
18.1,352,26.9589
19,352,42.8338
19.9,352,72.3413
20.8,352,152.01
21.7,352,230.267
22.6,352,229.981
23.5,352,197.726
24.4,352,208.769
25.3,352,176.595
26.2,352,187.228
27.1,352,145.412
28,352,137.843
28.9,352,90.4992
29.8,352,54.6768
30.7,352,5.84761
31.6,352,-45.7525
32.5,352,-74.7526
33.4,352,-103.498
34.3,352,-102.725
35.2,352,-92.508
36.1,352,-20.1112
37,352,5.81683
37.9,352,-13.6471
38.8,352,2.63867
39.7,352,91.8374
40.6,352,104.695
41.5,352,111.337
42.4,352,78.1851
43.3,352,55.7692
44.2,352,0.616297
45.1,352,-50.649
46,352,-87.6097
46.9,352,-138.641
47.8,352,-145.497
48.7,352,-183.765
49.6,352,-179.325
50.5,352,-201.524
51.4,352,-198.896
52.3,352,-222.638
53.2,352,-234.88
54.1,352,-167.423
55,352,-78.1031
10,396,-99.6869
10.9,396,-58.4036
11.8,396,-36.3221
12.7,396,-23.0804
13.6,396,-12.6914
14.5,396,-4.56843
15.4,396,3.66705
16.3,396,11.7151
17.2,396,21.478
18.1,396,34.1428
19,396,54.2451
19.9,396,91.5971
20.8,396,186.718
21.7,396,260.105
22.6,396,260.405
23.5,396,228.445
24.4,396,238.87
25.3,396,208.749
26.2,396,218.256
27.1,396,176.948
28,396,168.713
28.9,396,117.21
29.8,396,75.5521
30.7,396,14.0479
31.6,396,-52.1237
32.5,396,-88.4897
33.4,396,-119.954
34.3,396,-120.077
35.2,396,-102.302
36.1,396,-16.8136
37,396,4.69404
37.9,396,-11.6672
38.8,396,1.13127
39.7,396,99.2131
40.6,396,121.342
41.5,396,127.741
42.4,396,92.578
43.3,396,63.7375
44.2,396,-4.92265
45.1,396,-70.8229
46,396,-113.768
46.9,396,-168.749
47.8,396,-177.037
48.7,396,-214.447
49.6,396,-212.028
50.5,396,-232.137
51.4,396,-230.444
52.3,396,-253.753
53.2,396,-264.939
54.1,396,-200.45
55,396,-98.8579
10,440,-122.922
10.9,440,-72.1667
11.8,440,-44.865
12.7,440,-28.5102
13.6,440,-15.6764
14.5,440,-5.64219
15.4,440,4.52905
16.3,440,14.4699
17.2,440,26.5308
18.1,440,42.1736
19,440,66.9998
19.9,440,113.089
20.8,440,219.098
21.7,440,289.322
22.6,440,290.879
23.5,440,259.349
24.4,440,269.703
25.3,440,241.199
26.2,440,249.017
27.1,440,207.985
28,440,198.37
28.9,440,142.491
29.8,440,96.5418
30.7,440,24.5499
31.6,440,-55.3241
32.5,440,-99.1852
33.4,440,-133.303
34.3,440,-133.879
35.2,440,-109.561
36.1,440,-15.56
37,440,3.90328
37.9,440,-10.2585
38.8,440,1.57977
39.7,440,104.522
40.6,440,135.38
41.5,440,140.923
42.4,440,103.941
43.3,440,68.3877
44.2,440,-13.2177
45.1,440,-91.3069
46,440,-138.791
46.9,440,-197.338
47.8,440,-208.263
48.7,440,-245.199
49.6,440,-244.843
50.5,440,-263.664
51.4,440,-261.888
52.3,440,-284.517
53.2,440,-295.185
54.1,440,-232.285
55,440,-122.009
